document,StepF1,AdjacencyF1,Kendall,ConstraintCoverage,ConstraintAttachmentF1,A_score
3M_OEM_SOP,0.64,0.269,0.763,0.05,0.0,0.528
DOA_Food_Man_Proc_Stor,0.179,0.0,0.606,0.625,0.112,0.125
op_firesafety_guideline,0.443,0.486,0.951,0.52,0.0,0.456
macro_avg,0.42,0.251,0.774,0.398,0.037,0.37
