experiment,prompting_strategy,document_id,document_type,StepF1,AdjacencyF1,Kendall,ConstraintCoverage,ConstraintAttachmentF1,A_score,GraphF1,NEXT_EdgeF1,Logic_EdgeF1,ConstraintAttachmentF1_TierB,B_score
P2_cot,P2,3M_OEM_SOP,unknown,0.0,0.0,,0.0,0.0,0.0,,,,,
P2_cot,P2,DOA_Food_Proc,unknown,0.0,0.0,,0.0,0.0,0.0,,,,,
P2_cot,P2,op_firesafety_guideline,unknown,0.0,0.0,,0.0,0.0,0.0,,,,,
P3_two_stage,P3,3M_OEM_SOP,unknown,0.19,0.0,0.679,0.5,0.0,0.443,,,,,
P3_two_stage,P3,DOA_Food_Proc,unknown,0.054,0.0,1.0,0.375,0.0,0.404,,,,,
P3_two_stage,P3,op_firesafety_guideline,unknown,0.135,0.5,1.0,0.3,0.0,0.391,,,,,
